Temperature = 30.15 °C
Humidity    = 49.66 %

Temperature = 30.21 °C
Humidity    = 49.70 %

Temperature = 30.12 °C
Humidity    = 49.74 %

Temperature = 30.12 °C
Humidity    = 49.69 %

Temperature = 30.14 °C
Humidity    = 49.73 %

Temperature = 30.21 °C
Humidity    = 49.74 %

Temperature = 30.14 °C
Humidity    = 49.69 %

Temperature = 30.12 °C
Humidity    = 49.67 %

Temperature = 30.14 °C
Humidity    = 49.64 %

Temperature = 30.15 °C
Humidity    = 49.68 %

Temperature = 30.12 °C
Humidity    = 49.57 %

Temperature = 30.10 °C
Humidity    = 49.52 %

Temperature = 30.14 °C
Humidity    = 49.50 %

Temperature = 30.10 °C
Humidity    = 49.44 %

Temperature = 30.10 °C
Humidity    = 49.44 %

Temperature = 30.10 °C
Humidity    = 49.44 %

Temperature = 30.15 °C
Humidity    = 49.36 %

Temperature = 30.15 °C
Humidity    = 49.44 %

Temperature = 30.14 °C
Humidity    = 49.39 %

Temperature = 30.12 °C
Humidity    = 49.44 %

Temperature = 30.15 °C
Humidity    = 49.46 %

Temperature = 30.14 °C
Humidity    = 49.39 %

Temperature = 30.17 °C
Humidity    = 49.50 %

Temperature = 30.15 °C
Humidity    = 49.55 %

Temperature = 30.14 °C
Humidity    = 49.61 %

Temperature = 30.14 °C
Humidity    = 49.65 %

Temperature = 30.17 °C
Humidity    = 49.76 %

